UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic community structure,invertebrates,primary consumers,multidirectional,large - sig,N,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,functional community structure,invertebrates,primary consumers,multidirectional,large - sig,N,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic beta diversity,invertebrates,multiple trophic levels,increase,large - sig,N,,,,,,,,,,,,,,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,functional beta diversity,invertebrates,multiple trophic levels,no response,no response,N,,,,,,,,,,,,,,
